username,start_at,end_at,airport_code
joseph.higaki,2014-01-01 00:00:00+00:00,2020-10-17 04:59:59+00:00,LIM
joseph.higaki,2020-10-17 05:00:00+00:00,2024-09-10 04:59:59+00:00,BCN
joseph.higaki,2024-06-20 18:35:00+00:00,2024-06-24 09:59:59+00:00,CDG
joseph.higaki,2024-06-24 10:00:00+00:00,2024-06-25 00:15:59+00:00,LHR
joseph.higaki,2020-06-25 00:16:00+00:00,2024-09-10 04:59:59+00:00,BCN
joseph.higaki,2024-09-10 05:00:00+00:00,2024-09-17 04:59:59+00:00,BIQ
joseph.higaki,2024-09-17 05:00:00+00:00,2024-12-19 04:59:59+00:00,BCN
alice.alziati,2010-01-01 00:00:00+00:00,2024-11-17 04:59:59+00:00,BCN
alice.alziati,2024-11-17 05:00:00+00:00,2024-11-20 04:59:59+00:00,VCE
alice.alziati,2024-11-20 05:00:00+00:00,2024-12-20 04:59:59+00:00,BCN